job_idx,rank,cv_id,candidate,experience_years,nb_skills,matched_skills,keyword_score,skills_score,experience_score,global_score,label,job_snippet
1,1,1,Candidat_1,5,10,"python, sql, azure, nlp, pandas, power bi, mysql, data analyst",48.33,40.0,60.0,48.16,🔶 À évaluer,Votre prochain défi professionnel se trouve dans un poste stratégique en Data Sc...
1,2,2,Candidat_2,1,7,"react, angular, git, power bi, tableau, api, rest",48.52,28.57,60.0,44.83,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en Data Sc...
1,3,3,Candidat_3,2,19,"python, java, javascript, react, angular, node, django, flask",48.52,21.05,60.0,42.58,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en Data Sc...
1,4,4,Candidat_4,11,6,"typescript, react, node, git, agile, api",4.2,33.33,60.0,24.1,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en Data Sc...
1,5,5,Candidat_5,1,3,"machine learning, deep learning, devops",9.05,0.0,60.0,16.52,❌ Écarté,Votre prochain défi professionnel se trouve dans un poste stratégique en Data Sc...
2,1,1,Candidat_1,4,6,"spark, git, machine learning, deep learning, devops, rest",21.38,50.0,60.0,37.69,❌ Écarté,Mission passionnante pour un Machine Learning Engineer chez une entreprise de te...
2,2,3,Candidat_3,3,7,"django, kafka, airflow, machine learning, deep learning, data science, data engineer",13.22,28.57,60.0,27.18,❌ Écarté,Mission passionnante pour un Machine Learning Engineer chez une entreprise de te...
2,3,2,Candidat_2,1,4,"sql, azure, machine learning, nlp",13.81,25.0,60.0,26.41,❌ Écarté,Mission passionnante pour un Machine Learning Engineer chez une entreprise de te...
2,4,4,Candidat_4,2,15,"sql, java, javascript, typescript, react, node, docker, aws",11.86,13.33,60.0,21.93,❌ Écarté,Mission passionnante pour un Machine Learning Engineer chez une entreprise de te...
2,5,5,Candidat_5,2,16,"sql, java, javascript, typescript, react, angular, node, aws",2.07,6.25,60.0,14.91,❌ Écarté,Mission passionnante pour un Machine Learning Engineer chez une entreprise de te...
3,1,1,Candidat_1,1,2,"react, angular",64.38,50.0,60.0,59.19,🔶 À évaluer,Mission passionnante pour un développeur full-stack expérimenté chez Sofrecom Tu...
3,2,2,Candidat_2,0,9,"python, fastapi, docker, kubernetes, git, devops, agile, api",13.06,55.56,20.0,27.2,❌ Écarté,Mission passionnante pour un développeur full-stack expérimenté chez Sofrecom Tu...
3,3,3,Candidat_3,3,19,"python, sql, django, fastapi, kafka, docker, git, machine learning",7.1,26.32,60.0,23.45,❌ Écarté,Mission passionnante pour un développeur full-stack expérimenté chez Sofrecom Tu...
3,4,5,Candidat_5,1,3,"machine learning, deep learning, devops",9.62,0.0,60.0,16.81,❌ Écarté,Mission passionnante pour un développeur full-stack expérimenté chez Sofrecom Tu...
3,5,4,Candidat_4,4,9,"node, fastapi, machine learning, deep learning, tensorflow, data science, devops, api",4.2,0.0,60.0,14.1,❌ Écarté,Mission passionnante pour un développeur full-stack expérimenté chez Sofrecom Tu...
4,1,4,Candidat_4,3,10,"sql, java, javascript, react, node, docker, git, postgresql",51.44,50.0,60.0,52.72,🔶 À évaluer,Mission passionnante pour un AI Engineer expérimenté pour rejoindre notre équipe...
4,2,3,Candidat_3,3,1,react,15.54,100.0,60.0,49.77,🔶 À évaluer,Mission passionnante pour un AI Engineer expérimenté pour rejoindre notre équipe...
4,3,5,Candidat_5,4,2,"react, elasticsearch",11.99,50.0,60.0,33.0,❌ Écarté,Mission passionnante pour un AI Engineer expérimenté pour rejoindre notre équipe...
4,4,1,Candidat_1,20,23,"sql, java, javascript, react, angular, node, kafka, docker",6.77,34.78,60.0,25.82,❌ Écarté,Mission passionnante pour un AI Engineer expérimenté pour rejoindre notre équipe...
4,5,2,Candidat_2,1,23,"python, sql, java, typescript, react, vue, django, docker",9.2,30.43,60.0,25.73,❌ Écarté,Mission passionnante pour un AI Engineer expérimenté pour rejoindre notre équipe...
