job_idx,cv_col,source,model,label,score,score_skills,score_experience,score_education,score_location,gs_matched,label_checked,justification,generated_at
1,cv_1,job-1__1_.csv,Word2Vec-GaleShapley-v1,Retenu,72.97,93.61,43.14,95.69,37.34,✅ GS Match,,Skills: 93.6% | Experience: 43.1% | Education: 95.7% | Location: 37.3%,2026-05-07 19:23:21
1,cv_2,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,56.09,67.77,52.86,54.98,31.81,,,Skills: 67.8% | Experience: 52.9% | Education: 55.0% | Location: 31.8%,2026-05-07 19:23:21
1,cv_3,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,48.93,70.47,31.5,39.41,33.22,,,Skills: 70.5% | Experience: 31.5% | Education: 39.4% | Location: 33.2%,2026-05-07 19:23:21
1,cv_4,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,47.56,55.97,6.34,98.21,26.31,,,Skills: 56.0% | Experience: 6.3% | Education: 98.2% | Location: 26.3%,2026-05-07 19:23:21
1,cv_5,job-1__1_.csv,Word2Vec-GaleShapley-v1,Ecarté,11.84,12.95,14.17,0.0,20.76,,,Skills: 12.9% | Experience: 14.2% | Education: 0.0% | Location: 20.8%,2026-05-07 19:23:21
2,cv_1,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,50.94,63.76,51.05,30.58,43.7,,,Skills: 63.8% | Experience: 51.0% | Education: 30.6% | Location: 43.7%,2026-05-07 19:23:21
2,cv_2,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,48.24,69.77,35.27,37.65,26.57,,,Skills: 69.8% | Experience: 35.3% | Education: 37.6% | Location: 26.6%,2026-05-07 19:23:21
2,cv_3,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,58.71,82.99,58.15,25.85,38.7,✅ GS Match,,Skills: 83.0% | Experience: 58.1% | Education: 25.9% | Location: 38.7%,2026-05-07 19:23:21
2,cv_4,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,47.77,67.17,25.33,46.03,35.74,,,Skills: 67.2% | Experience: 25.3% | Education: 46.0% | Location: 35.7%,2026-05-07 19:23:21
2,cv_5,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,40.14,70.57,16.77,38.59,0.0,,,Skills: 70.6% | Experience: 16.8% | Education: 38.6% | Location: 0.0%,2026-05-07 19:23:21
3,cv_1,job-1__1_.csv,Word2Vec-GaleShapley-v1,Retenu,73.59,69.89,91.89,38.31,100.0,✅ GS Match,,Skills: 69.9% | Experience: 91.9% | Education: 38.3% | Location: 100.0%,2026-05-07 19:23:21
3,cv_2,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,55.85,78.43,37.81,16.69,77.94,,,Skills: 78.4% | Experience: 37.8% | Education: 16.7% | Location: 77.9%,2026-05-07 19:23:21
3,cv_3,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,57.36,84.26,31.71,17.63,81.33,,,Skills: 84.3% | Experience: 31.7% | Education: 17.6% | Location: 81.3%,2026-05-07 19:23:21
3,cv_4,job-1__1_.csv,Word2Vec-GaleShapley-v1,A evaluer,53.33,75.31,20.25,21.91,91.76,,,Skills: 75.3% | Experience: 20.2% | Education: 21.9% | Location: 91.8%,2026-05-07 19:23:21
